ltable_id,rtable_id,label,score,phase,index
1078,2081,0,0.005,stable,79
751,2189,0,0.005,stable,80
515,2313,0,0.0,stable,81
874,1319,0,0.0,stable,82
648,1773,0,0.19,stable,83
1029,2081,0,0.7431944444444444,stable,84
831,2970,0,0.61,stable,85
606,2411,0,0.025,stable,86
578,2332,0,0.0,stable,87
546,986,0,0.0,stable,88
736,3032,0,0.0,stable,89
890,2143,0,0.33,stable,90
776,907,0,0.0,stable,91
1322,911,0,0.0,stable,92
558,2143,0,0.14,stable,93
620,2807,0,0.01,stable,94
1322,1146,0,0.0,stable,95
773,1014,0,0.0,stable,96
930,254,0,0.0,stable,97
604,3199,0,0.005,stable,98
1362,744,0,0.03,stable,99
157,25,0,0.04,stable,100
845,180,1,0.76,stable,101
333,2915,0,0.0,stable,102
829,3151,0,0.0,stable,103
641,1177,0,0.15,stable,104
477,2466,1,0.425,stable,105
517,1667,0,0.61,stable,106
443,1643,0,0.0,stable,107
146,2853,0,0.005,stable,108
276,3048,0,0.11,stable,109
808,2125,0,0.0,stable,110
1119,1351,0,0.615,stable,111
511,998,0,0.0,stable,112
605,2837,0,0.0,stable,113
896,159,1,0.92,stable,114
591,515,0,0.0,stable,115
559,2860,0,0.05,stable,116
602,897,0,0.0,stable,117
753,2847,0,0.0,stable,118
517,361,0,0.0,stable,119
753,915,0,0.0,stable,120
1141,2811,1,0.795,stable,121
404,2890,1,0.08,stable,122
1018,3156,0,0.63,stable,123
587,3190,0,0.0,stable,124
231,1925,0,0.0,stable,125
594,1037,0,0.005,stable,126
586,1485,0,0.0,stable,127
557,338,0,0.215,stable,128
556,1475,0,0.0,stable,129
1024,2468,0,0.025,stable,130
25,2099,0,0.32,stable,131
897,452,1,0.843279761904762,stable,132
971,647,0,0.0,stable,133
32,2008,1,0.555,stable,134
139,426,0,0.005,stable,135
1099,767,1,0.995,stable,136
823,2474,0,0.125,stable,137
1004,2232,0,0.21,stable,138
209,1937,0,0.005,stable,139
1038,2638,0,0.04,stable,140
848,843,0,0.55,stable,141
235,1970,0,0.02,stable,142
547,2863,0,0.09,stable,143
320,3087,0,0.0,stable,144
369,3062,0,0.565,stable,145
1246,857,0,0.015,stable,146
971,196,0,0.135,stable,147
265,939,0,0.09,stable,148
271,2877,0,0.0,stable,149
571,111,0,0.0,stable,150
157,1735,0,0.26,stable,151
523,3085,0,0.07,stable,152
557,190,0,0.005,stable,153
897,921,0,0.07,stable,154
465,151,0,0.005,stable,155
208,1781,0,0.005,stable,156
510,3062,0,0.09,stable,157
1001,2544,0,0.145,stable,158
132,2272,0,0.305,stable,159
233,1153,0,0.855,stable,160
944,2561,0,0.14,stable,161
167,2850,0,0.0,stable,162
559,326,1,0.805,stable,163
731,3021,0,0.0,stable,164
318,3039,0,0.01,stable,165
606,2847,0,0.14,stable,166
591,2158,0,0.01,stable,167
1090,973,1,0.445,stable,168
599,2996,0,0.49,stable,169
1174,1213,0,0.0,stable,170
1013,1566,0,0.0,stable,171
1078,2669,0,0.055,stable,172
559,2839,0,0.01,stable,173
615,977,0,0.125,stable,174
1068,2544,0,0.02,stable,175
431,1773,0,0.0,stable,176
588,1842,0,0.005,stable,177
520,3092,0,0.015,stable,178
993,3063,0,0.025,stable,179
501,808,1,0.1,stable,180
810,709,0,0.035,stable,181
270,3060,0,0.0,stable,182
198,64,0,0.28,stable,183
580,2530,0,0.0,stable,184
145,1137,0,0.03,stable,185
1002,2478,0,0.0,stable,186
1287,792,0,0.005,stable,187
892,2839,0,0.04,stable,188
420,2845,0,0.0,stable,189
625,294,1,0.925,stable,190
1052,2946,0,0.51,stable,191
554,2062,0,0.03,stable,192
548,523,0,0.0,stable,193
86,1584,0,0.0,stable,194
1266,1060,1,0.7,stable,195
547,2816,0,0.05,stable,196
1078,2723,0,0.0,stable,197
511,915,0,0.005,stable,198
653,2030,0,0.219375,stable,199
799,1735,0,0.0,stable,200
1284,3056,0,0.015,stable,201
1036,1106,0,0.065,stable,202
1148,1188,0,0.0,stable,203
991,2900,0,0.005,stable,204
287,1485,0,0.0,stable,205
1340,648,1,0.045,stable,206
608,939,0,0.005,stable,207
512,111,0,0.41,stable,208
588,151,0,0.0,stable,209
1127,2238,0,0.0,stable,210
146,2518,0,0.0,stable,211
518,1805,0,0.0,stable,212
362,2078,0,0.01,stable,213
650,1776,0,0.01,stable,214
1093,948,0,0.36,stable,215
19,1237,1,0.29,stable,216
518,3187,0,0.0,stable,217
662,3109,0,0.005,stable,218
554,3016,0,0.35,stable,219
614,1170,0,0.78,stable,220
484,750,0,0.115,stable,221
618,1485,0,0.02,stable,222
498,2153,0,0.23,stable,223
1083,1949,0,0.515,stable,224
490,2441,0,0.0,stable,225
1078,2102,0,0.01,stable,226
998,1449,0,0.425,stable,227
538,2200,1,0.03,stable,228
866,312,0,0.0,stable,229
1275,2273,0,0.01,stable,230
624,2224,0,0.19,stable,231
802,2327,0,0.035,stable,232
441,1086,0,0.115,stable,233
1078,313,0,0.03,stable,234
585,2517,1,0.7375,stable,235
1341,647,1,0.845,stable,236
574,1132,0,0.09,stable,237
360,3030,0,0.02,stable,238
181,1602,0,0.11,stable,239
517,986,1,0.9,stable,240
517,355,0,0.005,stable,241
139,939,0,0.0,stable,242
736,902,0,0.0,stable,243
839,3094,0,0.16,stable,244
827,1060,0,0.0,stable,245
553,242,0,0.005,stable,246
109,2501,0,0.47,stable,247
1176,2329,0,0.0,stable,248
589,3055,0,0.085,stable,249
1038,2102,0,0.14,stable,250
477,195,0,0.245,stable,251
453,2076,0,0.0,stable,252
570,2266,0,0.02,stable,253
753,1132,0,0.0,stable,254
244,137,0,0.0,stable,255
520,3134,0,0.0,stable,256
851,1080,0,0.02,stable,257
546,190,0,0.005,stable,258
168,2164,1,0.115,stable,259
1118,1678,0,0.035,stable,260
1051,1442,0,0.23,stable,261
431,111,0,0.415,stable,262
830,237,0,0.005,stable,263
653,741,0,0.04,stable,264
1273,326,0,0.0,stable,265
1166,2205,0,0.275,stable,266
892,324,0,0.0,stable,267
1206,537,1,0.1,stable,268
52,2008,0,0.105,stable,269
497,1095,0,0.265,stable,270
616,239,0,0.0,stable,271
413,2873,1,0.98,stable,272
587,2848,0,0.045,stable,273
1004,852,0,0.235,stable,274
333,257,0,0.0,stable,275
606,2165,1,0.31,stable,276
44,966,0,0.0,stable,277
40,456,0,0.02,stable,278
750,330,0,0.225,stable,279
1258,1032,0,0.0,stable,280
338,3059,0,0.0,stable,281
539,1124,0,0.0,stable,282
223,1583,0,0.0,stable,283
371,2847,0,0.0,stable,284
511,1902,0,0.135,stable,285
1290,3056,0,0.05,stable,286
396,3133,0,0.0,stable,287
616,2252,0,0.0,stable,288
897,521,0,0.0,stable,289
1020,3132,0,0.6481944444444444,stable,290
1089,1372,1,0.28375,stable,291
935,3186,0,0.015,stable,292
428,2956,0,0.0,stable,293
1275,2937,1,1.0,stable,294
81,1592,1,0.7325,stable,295
527,190,0,0.0,stable,296
333,2154,0,0.455,stable,297
514,2600,0,0.005,stable,298
1111,2621,0,0.0,stable,299
583,1160,0,0.57,stable,300
1176,2150,0,0.005,stable,301
181,1584,0,0.005,stable,302
294,1431,0,0.7775416666666668,stable,303
625,944,0,0.085,stable,304
990,2390,0,0.505,stable,305
333,448,0,0.0,stable,306
696,3106,0,0.005,stable,307
518,1207,0,0.0,stable,308
15,291,0,0.0,stable,309
1050,243,0,0.45,stable,310
490,2853,0,0.015,stable,311
535,2818,0,0.0,stable,312
1246,1280,0,0.0,stable,313
592,426,0,0.005,stable,314
93,1805,0,0.17,stable,315
105,2804,0,0.02,stable,316
852,2383,0,0.245,stable,317
1122,2860,0,0.03,stable,318
883,1017,0,0.0,stable,319
1268,1059,1,0.563,stable,320
592,2377,0,0.0,stable,321
195,405,0,0.07,stable,322
784,251,0,0.0,stable,323
1308,2146,0,0.0,stable,324
763,412,0,0.01,stable,325
541,2867,1,0.55,stable,326
608,1146,0,0.055,stable,327
888,375,0,0.06,stable,328
645,3160,0,0.095,stable,329
267,444,0,0.0,stable,330
753,273,0,0.0,stable,331
536,2839,0,0.0,stable,332
346,2865,1,0.875,stable,333
350,151,0,0.0,stable,334
1001,2083,0,0.005,stable,335
353,1166,0,0.043250000000000004,stable,336
1132,2993,0,0.0,stable,337
556,2227,0,0.005,stable,338
808,2100,0,0.085,stable,339
572,3032,0,0.01,stable,340
923,955,0,0.0,stable,341
557,2671,0,0.0,stable,342
1275,2399,0,0.01,stable,343
1183,892,1,0.785,stable,344
654,2154,0,0.0,stable,345
143,1830,1,0.035,stable,346
1050,2774,0,0.08,stable,347
615,1213,0,0.135,stable,348
532,1367,0,0.005,stable,349
216,192,0,0.055,stable,350
135,36,0,0.0,stable,351
797,2597,1,0.48,stable,352
823,1686,0,0.005,stable,353
1265,1282,0,0.04,stable,354
664,211,1,0.705,stable,355
1317,491,0,0.48,stable,356
528,1367,0,0.06,stable,357
1322,99,0,0.015,stable,358
1282,953,0,0.0,stable,359
781,1687,0,0.0,stable,360
1148,2363,0,0.115,stable,361
1258,2273,0,0.0,stable,362
1190,1026,1,0.99,stable,363
951,330,0,0.01,stable,364
145,2441,0,0.085,stable,365
1004,2410,0,0.185,stable,366
876,953,0,0.0,stable,367
27,1701,0,0.005,stable,368
287,3028,0,0.11,stable,369
167,540,0,0.0,stable,370
604,2821,0,0.0,stable,371
599,2851,0,0.005,stable,372
518,1075,0,0.01,stable,373
1182,798,0,0.065,stable,374
175,2998,0,0.005,stable,375
78,878,0,0.0,stable,376
890,2062,0,0.03,stable,377
859,1440,0,0.08,stable,378
839,145,0,0.015,stable,379
497,1075,0,0.03,stable,380
781,3029,0,0.0,stable,381
88,1213,0,0.03,stable,382
216,923,0,0.085,stable,383
1190,1040,0,0.105,stable,384
950,807,0,0.08,stable,385
1299,3108,0,0.035,stable,386
392,1878,0,0.005,stable,387
734,598,0,0.48,stable,388
796,2323,0,0.015,stable,389
557,70,0,0.06,stable,390
1004,2271,0,0.06,stable,391
221,95,0,0.155,stable,392
753,1643,0,0.0,stable,393
1106,3106,0,0.0,stable,394
274,2313,0,0.04,stable,395
665,3154,0,0.01,stable,396
761,1767,0,0.0,stable,397
350,2393,0,0.0,stable,398
854,191,1,0.6408333333333335,stable,399
715,321,0,0.455,stable,400
897,2308,0,0.005,stable,401
44,3016,0,0.005,stable,402
496,375,0,0.035,stable,403
910,70,0,0.065,stable,404
346,1583,0,0.07,stable,405
481,1153,0,0.005,stable,406
589,3215,0,0.57,stable,407
443,959,0,0.0,stable,408
490,1767,0,0.0,stable,409
608,911,0,0.005,stable,410
270,3164,0,0.015,stable,411
556,179,0,0.055,stable,412
1268,2772,0,0.66,stable,413
512,1169,0,0.005,stable,414
622,288,1,0.38,stable,415
518,1182,0,0.14,stable,416
695,162,0,0.075,stable,417
484,2395,0,0.14875,stable,418
62,2127,1,0.175,stable,419
492,2172,0,0.0,stable,420
537,895,1,0.87,stable,421
604,2411,0,0.09,stable,422
772,902,0,0.4,stable,423
1024,2338,0,0.26,stable,424
769,3011,0,0.0,stable,425
748,965,0,0.1,stable,426
516,485,0,0.0,stable,427
991,423,0,0.01,stable,428
1118,2393,0,0.005,stable,429
565,2193,0,0.005,stable,430
881,2039,0,0.005,stable,431
1272,1028,0,0.7202500000000001,stable,432
1362,2840,0,0.13,stable,433
1225,1447,0,0.0,stable,434
374,3141,0,0.37,stable,435
796,5,0,0.175,stable,436
837,444,0,0.6542857142857144,stable,437
577,3055,0,0.405,stable,438
632,36,0,0.005,stable,439
1305,1007,0,0.0,stable,440
565,893,0,0.0,stable,441
547,1007,0,0.0,stable,442
518,1007,0,0.075,stable,443
781,2850,0,0.21833333333333335,stable,444
1287,1026,0,0.005,stable,445
1334,3161,0,0.31,stable,446
1262,531,0,0.0,stable,447
248,125,0,0.08,stable,448
604,1497,0,0.0,stable,449
635,2019,0,0.015,stable,450
743,3003,0,0.0,stable,451
82,632,0,0.07,stable,452
876,566,0,0.0,stable,453
526,3148,0,0.005,stable,454
1322,984,0,0.0,stable,455
565,921,0,0.055,stable,456
394,2757,0,0.155,stable,457
589,3063,0,0.03,stable,458
371,945,0,0.0,stable,459
910,1213,0,0.005,stable,460
38,2058,1,0.235,stable,461
1190,107,0,0.005,stable,462
316,2624,0,0.065,stable,463
562,893,0,0.0,stable,464
763,386,1,0.55,stable,465
1019,3060,0,0.0,stable,466
604,2877,0,0.0,stable,467
1053,2280,0,0.415,stable,468
890,423,0,0.014285714285714285,stable,469
251,73,0,0.0,stable,470
510,2089,0,0.29,stable,471
135,1497,0,0.0,stable,472
503,1770,0,0.005,stable,473
736,955,0,0.0,stable,474
5,364,0,0.085,stable,475
543,2860,0,0.0,stable,476
1257,2920,0,0.0,stable,477
1282,172,0,0.0,stable,478
839,1135,0,0.074375,stable,479
602,426,0,0.0,stable,480
696,3110,0,0.0,stable,481
1064,185,0,0.35,stable,482
897,190,0,0.04,stable,483
717,500,0,0.655,stable,484
504,371,0,0.0,stable,485
935,541,0,0.02,stable,486
1340,2333,0,0.005,stable,487
834,2871,0,0.235,stable,488
492,2441,0,0.0,stable,489
606,3209,0,0.0,stable,490
531,111,0,0.0,stable,491
321,2759,0,0.0,stable,492
593,151,1,0.495,stable,493
452,2377,0,1.0,stable,494
124,2089,0,0.15,stable,495
511,137,0,0.0,stable,496
1281,3157,0,0.0,stable,497
462,937,0,0.01,stable,498
407,953,0,0.0,stable,499
574,2518,0,0.0,stable,500
249,1798,0,0.37,stable,501
967,989,0,0.434375,stable,502
1269,1062,0,0.02,stable,503
851,2926,0,0.04,stable,504
578,3175,0,0.0,stable,505
1201,3106,0,0.35,stable,506
1269,2765,0,0.0,stable,507
584,1643,0,0.145,stable,508
301,219,0,0.01,stable,509
270,1148,0,0.04,stable,510
1078,1033,0,0.0,stable,511
632,1169,0,0.035,stable,512
960,2122,0,0.02,stable,513
504,2292,0,0.22,stable,514
478,136,0,0.08,stable,515
1287,1052,0,0.04,stable,516
1259,3154,0,0.0,stable,517
255,1161,0,0.02,stable,518
736,1213,0,0.43,stable,519
1360,610,1,0.5,stable,520
3,348,0,0.0,stable,521
272,2337,1,0.16,stable,522
1225,3003,0,0.1,stable,523
162,1493,1,0.955,stable,524
1272,2399,0,0.0,stable,525
722,3212,0,0.02,stable,526
1115,1062,0,0.12,stable,527
1331,638,1,0.145,stable,528
522,1010,0,0.08,stable,529
106,1698,0,0.015,stable,530
586,3080,0,0.165,stable,531
1115,1955,1,0.86,stable,532
1185,562,1,0.91,stable,533
897,911,0,0.0,stable,534
577,3134,0,0.13,stable,535
284,330,0,0.0,stable,536
348,2206,0,0.0,stable,537
798,3108,0,0.01,stable,538
571,2821,0,0.01,stable,539
82,2884,0,0.0,stable,540
553,257,0,0.01,stable,541
865,2251,0,0.035,stable,542
594,2591,0,0.0,stable,543
531,3109,0,0.045,stable,544
992,533,0,0.01,stable,545
654,2468,0,0.005,stable,546
431,1163,0,0.005,stable,547
1127,2156,0,0.0,stable,548
4,1905,1,0.625,stable,549
412,182,1,0.85875,stable,550
737,1180,0,0.07,stable,551
736,2212,0,0.0,stable,552
1076,456,0,0.0,stable,553
558,3048,0,0.7,stable,554
1242,788,0,0.035,stable,555
267,145,0,0.175,stable,556
592,580,0,0.045,stable,557
753,2833,0,0.005,stable,558
1246,1341,0,0.005,stable,559
638,2621,0,0.0,stable,560
1300,737,1,0.88,stable,561
572,1564,1,0.61,stable,562
781,3190,0,0.02,stable,563
179,2334,0,0.055,stable,564
1341,3021,0,0.01,stable,565
267,1595,0,0.0,stable,566
839,444,0,0.05,stable,567
903,2527,1,0.9095,stable,568
67,1495,0,0.005,stable,569
875,2612,0,0.165,stable,570
431,77,0,0.0,stable,571
512,2803,0,0.01,stable,572
779,1427,0,0.01,stable,573
738,2544,0,0.5224444444444444,stable,574
1284,2720,0,0.015,stable,575
389,621,0,0.06,stable,576
222,3111,0,0.255,stable,577
837,897,0,0.0,stable,578
1287,2510,0,0.055,stable,579
1284,462,0,0.005,stable,580
953,850,1,0.84,stable,581
244,1163,0,0.0,stable,582
606,2474,0,0.02,stable,583
923,1180,0,0.0,stable,584
820,703,0,0.005,stable,585
1334,430,0,0.0,stable,586
1053,163,0,0.19,stable,587
601,2105,0,0.0,stable,588
781,1816,0,0.0,stable,589
1138,547,0,0.235,stable,590
642,190,0,0.005,stable,591
425,3036,0,0.035,stable,592
606,2518,0,0.0,stable,593
609,2452,0,0.0,stable,594
27,3070,0,0.01,stable,595
465,977,0,0.5075714285714286,stable,596
49,2072,1,0.16,stable,597
1321,260,0,0.01,stable,598
797,457,0,0.11,stable,599
871,316,0,0.355,stable,600
92,987,0,0.505,stable,601
989,822,1,0.21,stable,602
1213,2837,1,0.01,stable,603
851,1040,0,0.11,stable,604
883,190,0,0.005,stable,605
346,1907,0,0.0,stable,606
540,5,1,0.67,stable,607
462,345,0,0.01,stable,608
516,3017,0,0.015,stable,609
465,368,0,0.445,stable,610
361,1853,0,0.039375,stable,611
267,2807,0,0.055,stable,612
350,1763,0,0.0,stable,613
1046,2348,1,0.07,stable,614
860,515,0,0.0,stable,615
376,1115,0,0.29,stable,616
722,2198,0,0.0,stable,617
333,2860,0,0.135,stable,618
452,309,0,0.0,stable,619
882,2139,0,0.02,stable,620
453,2045,0,0.005,stable,621
544,1182,0,0.01,stable,622
689,1127,0,0.0,stable,623
1190,1485,0,0.005,stable,624
858,1007,0,0.005,stable,625
26,485,0,0.015,stable,626
371,2818,0,0.005,stable,627
556,3014,0,0.08,stable,628
40,2093,0,0.065,stable,629
312,2801,0,0.015,stable,630
607,2544,0,0.495,stable,631
592,485,0,0.01,stable,632
1199,954,0,0.23,stable,633
646,3022,0,0.02,stable,634
1196,791,0,0.07,stable,635
1196,3025,0,0.27,stable,636
1148,312,0,0.0,stable,637
496,1715,0,0.0,stable,638
265,465,0,0.265,stable,639
669,2984,0,0.205,stable,640
914,2049,0,0.505,stable,641
1055,758,1,0.87,stable,642
541,1010,0,0.045,stable,643
711,3163,0,0.555,stable,644
803,1146,0,0.0,stable,645
910,2444,0,0.0,stable,646
357,2108,0,0.37,stable,647
1145,3199,0,0.01,stable,648
88,3161,0,0.0,stable,649
554,832,0,0.005,stable,650
490,945,0,0.0,stable,651
1341,2062,0,0.135,stable,652
853,371,0,0.0,stable,653
251,2818,0,0.0,stable,654
1330,2606,0,0.0,stable,655
589,3200,0,0.0,stable,656
1205,536,1,0.05,stable,657
225,998,0,0.665,stable,658
1038,2550,0,0.135,stable,659
1295,702,1,0.80875,stable,660
653,2765,0,0.005,stable,661
1251,314,0,0.01,stable,662
808,2960,0,0.04,stable,663
432,165,0,0.0,stable,664
820,2032,0,0.01,stable,665
544,2853,0,0.465,stable,666
510,2064,0,0.005,stable,667
539,1367,0,0.0,stable,668
76,362,0,0.18,stable,669
194,67,0,0.575,stable,670
284,1447,0,0.0,stable,671
1196,2133,0,0.005,stable,672
1024,2273,0,0.025,stable,673
587,1512,0,0.0,stable,674
1016,548,0,0.5938888888888889,stable,675
853,986,0,0.0,stable,676
798,671,1,0.22,stable,677
727,3222,0,0.385,stable,678
631,2318,1,0.25,stable,679
1257,313,0,0.2,stable,680
1186,324,0,0.0,stable,681
781,2474,0,0.0,stable,682
950,3032,0,0.12,stable,683
823,1095,0,0.0,stable,684
1334,1146,0,0.005,stable,685
1105,462,0,0.025,stable,686
859,2613,0,0.025,stable,687
604,1120,0,0.0,stable,688
1275,2400,0,0.1,stable,689
267,3213,0,0.1,stable,690
1181,2860,0,0.0,stable,691
355,1484,0,0.165,stable,692
1056,1157,0,0.065,stable,693
605,2411,0,0.01,stable,694
697,2780,1,0.305,stable,695
1008,1907,0,0.0,stable,696
753,1014,0,0.0,stable,697
208,1770,0,0.03,stable,698
87,1120,0,0.005,stable,699
518,1120,0,0.0,stable,700
914,2585,0,0.725,stable,701
606,2137,0,0.01,stable,702
550,3094,0,0.005,stable,703
939,2132,0,0.0,stable,704
350,946,0,0.015,stable,705
879,1060,0,0.005,stable,706
176,423,0,0.03,stable,707
109,1655,0,0.41,stable,708
497,1512,0,0.0,stable,709
1349,946,0,0.0,stable,710
599,1475,0,0.0,stable,711
1186,1612,0,0.0,stable,712
646,3023,0,0.0,stable,713
557,452,0,0.02,stable,714
1290,204,0,0.005,stable,715
361,452,0,0.0,stable,716
923,371,0,0.145,stable,717
611,1036,0,0.005,stable,718
901,150,1,0.86,stable,719
593,367,0,0.085,stable,720
602,430,0,0.385,stable,721
784,1020,0,0.025,stable,722
1278,447,0,0.005,stable,723
817,2839,0,0.0,stable,724
47,2862,0,0.705,stable,725
583,2194,1,0.56,stable,726
431,1828,0,0.275,stable,727
1305,1485,0,0.005,stable,728
512,16,0,0.025,stable,729
866,192,0,0.0,stable,730
506,1010,0,0.0,stable,731
523,1497,0,0.005,stable,732
587,2821,0,0.0,stable,733
860,222,0,0.255,stable,734
349,435,0,0.0,stable,735
267,1180,0,0.0,stable,736
654,3160,0,0.13,stable,737
608,257,0,0.055,stable,738
49,548,0,0.175,stable,739
572,355,0,0.0,stable,740
1092,978,1,0.48,stable,741
1185,1062,0,0.01,stable,742
594,100,0,0.0,stable,743
975,461,0,0.025,stable,744
539,922,0,0.0,stable,745
1330,371,0,0.0,stable,746
1050,772,0,0.06,stable,747
995,2135,0,0.25,stable,748
826,2175,0,0.0,stable,749
593,1564,0,0.005,stable,750
1231,3094,0,0.0,stable,751
1159,651,0,0.17,stable,752
29,251,0,0.495,stable,753
883,4,0,0.005,stable,754
394,3221,0,0.49,stable,755
944,2565,0,0.0,stable,756
592,1923,0,0.0,stable,757
554,2996,0,0.21,stable,758
910,946,0,0.0,stable,759
1114,1362,0,0.21,stable,760
1319,477,0,0.635,stable,761
715,399,1,0.445,stable,762
779,1039,0,0.005,stable,763
821,1519,0,0.815,stable,764
839,331,0,0.03,stable,765
1259,1157,0,0.005,stable,766
1176,2820,0,0.0,stable,767
214,2357,0,0.0,stable,768
1329,1666,0,0.0,stable,769
306,2976,0,0.24317098662207356,stable,770
214,1533,0,0.0,stable,771
859,2660,0,0.31,stable,772
255,1772,0,0.215,stable,773
578,1686,0,0.04,stable,774
1190,2008,0,0.0,stable,775
823,2850,0,0.025,stable,776
15,2453,0,0.0,stable,777
181,878,0,0.065,stable,778
329,3041,0,0.8990070206706787,stable,779
432,2398,0,0.425,stable,780
44,2092,0,0.08,stable,781
176,1655,0,0.74,stable,782
588,430,0,0.0,stable,783
875,2438,0,0.325,stable,784
979,1344,0,0.22,stable,785
361,430,0,0.005,stable,786
571,2600,0,0.1,stable,787
325,2619,0,0.025,stable,788
1190,2752,0,0.379,stable,789
309,403,0,0.02,stable,790
465,1612,0,0.0,stable,791
1246,1199,0,0.0,stable,792
15,791,0,0.005,stable,793
615,1612,0,0.06,stable,794
273,8,1,0.92,stable,795
657,705,0,0.08,stable,796
396,1367,0,0.0,stable,797
1176,2686,0,0.005,stable,798
363,2854,1,0.305,stable,799
890,2996,0,0.17,stable,800
1262,368,0,0.0,stable,801
584,1828,0,0.335,stable,802
265,371,0,0.0,stable,803
950,363,0,0.09,stable,804
220,15,0,0.095,stable,805
781,3183,0,0.0,stable,806
577,2146,1,0.8023214285714286,stable,807
839,986,0,0.1,stable,808
228,1633,0,0.0,stable,809
646,1666,0,0.155,stable,810
322,190,0,0.93,stable,811
925,572,0,0.008333333333333333,stable,812
294,3128,0,0.11,stable,813
993,3033,0,0.0,stable,814
355,3095,0,0.235,stable,815
847,1573,0,0.25,stable,816
751,2728,0,0.0,stable,817
752,629,0,0.235,stable,818
531,1633,0,0.005,stable,819
944,2589,0,0.15,stable,820
1081,905,0,0.325,stable,821
705,1083,0,0.03,stable,822
587,1095,0,0.0,stable,823
111,473,0,0.555,stable,824
532,1214,0,0.005,stable,825
531,77,0,0.0,stable,826
981,2062,0,0.025,stable,827
1293,3060,0,0.0,stable,828
1038,219,0,0.07,stable,829
588,254,0,0.04,stable,830
27,2199,0,0.0,stable,831
736,257,0,0.0,stable,832
139,960,0,0.0,stable,833
636,2547,0,0.325,stable,834
816,777,0,0.0,stable,835
79,3095,0,0.43,stable,836
984,2234,1,0.395,stable,837
1255,1086,0,0.36,stable,838
737,2649,0,0.58,stable,839
1235,1900,0,0.005,stable,840
517,2649,1,0.85,stable,841
999,3207,0,0.005,stable,842
157,1151,0,0.07,stable,843
1002,1440,0,0.53,stable,844
532,1350,0,0.26,stable,845
1174,369,0,0.0,stable,846
1262,448,0,0.005,stable,847
541,2441,0,0.005,stable,848
490,1007,0,0.0,stable,849
606,945,0,0.0,stable,850
590,457,0,0.51,stable,851
883,448,0,0.0,stable,852
288,3006,0,0.8990070206706787,stable,853
1275,2435,0,0.20916666666666664,stable,854
517,331,0,0.04,stable,855
372,740,0,0.0,stable,856
773,1512,0,0.01,stable,857
1287,2744,0,0.01,stable,858
1244,1879,0,0.0,stable,859
620,448,0,0.0,stable,860
571,2877,0,0.16,stable,861
858,2816,0,0.025,stable,862
547,1095,0,0.0,stable,863
991,1655,0,0.65,stable,864
443,73,0,0.305,stable,865
618,1970,0,0.0,stable,866
614,273,0,0.0,stable,867
225,3175,0,0.0,stable,868
1262,358,0,0.085,stable,869
287,448,0,0.0,stable,870
