ltable_id,rtable_id,label,base_score,shift_score
1111,2621,0,0.0,0.0
583,1160,0,0.57,0.54
1176,2150,0,0.005,0.005
181,1584,0,0.005,0.005
294,1431,0,0.7775416666666668,0.7482559523809524
625,944,0,0.085,0.165
990,2390,0,0.505,0.475
333,448,0,0.0,0.0
696,3106,0,0.005,0.01
518,1207,0,0.0,0.0
15,291,0,0.0,0.0
1050,243,0,0.45,0.41
490,2853,0,0.015,0.015
535,2818,0,0.0,0.005
1246,1280,0,0.0,0.0
592,426,0,0.005,0.01
93,1805,0,0.17,0.19
105,2804,0,0.02,0.11
852,2383,0,0.245,0.255
1122,2860,0,0.03,0.025
883,1017,0,0.0,0.0
1268,1059,1,0.563,0.5529999999999999
592,2377,0,0.0,0.01
195,405,0,0.07,0.09
784,251,0,0.0,0.0
1308,2146,0,0.0,0.0
763,412,0,0.01,0.01
541,2867,1,0.55,0.525
608,1146,0,0.055,0.195
888,375,0,0.06,0.07
645,3160,0,0.095,0.11
267,444,0,0.0,0.015
753,273,0,0.0,0.005
536,2839,0,0.0,0.005
346,2865,1,0.875,0.48
350,151,0,0.0,0.0
1001,2083,0,0.005,0.005
353,1166,0,0.043250000000000004,0.043250000000000004
1132,2993,0,0.0,0.005
556,2227,0,0.005,0.005
808,2100,0,0.085,0.095
572,3032,0,0.01,0.05
923,955,0,0.0,0.0
557,2671,0,0.0,0.0
1275,2399,0,0.01,0.01
1183,892,1,0.785,0.705
654,2154,0,0.0,0.01
143,1830,1,0.035,0.05
1050,2774,0,0.08,0.095
615,1213,0,0.135,0.15
532,1367,0,0.005,0.01
216,192,0,0.055,0.05
135,36,0,0.0,0.0
797,2597,1,0.48,0.625
823,1686,0,0.005,0.005
1265,1282,0,0.04,0.035
664,211,1,0.705,0.69
1317,491,0,0.48,0.005
528,1367,0,0.06,0.085
1322,99,0,0.015,0.105
1282,953,0,0.0,0.005
781,1687,0,0.0,0.005
1148,2363,0,0.115,0.115
1258,2273,0,0.0,0.0
1190,1026,1,0.99,0.99
951,330,0,0.01,0.01
145,2441,0,0.085,0.1
1004,2410,0,0.185,0.225
876,953,0,0.0,0.005
27,1701,0,0.005,0.005
287,3028,0,0.11,0.11
167,540,0,0.0,0.0
604,2821,0,0.0,0.0
599,2851,0,0.005,0.015
518,1075,0,0.01,0.015
1182,798,0,0.065,0.05
175,2998,0,0.005,0.01
78,878,0,0.0,0.0
890,2062,0,0.03,0.045
859,1440,0,0.08,0.085
839,145,0,0.015,0.015
497,1075,0,0.03,0.04
781,3029,0,0.0,0.015
88,1213,0,0.03,0.035
216,923,0,0.085,0.075
1190,1040,0,0.105,0.11
950,807,0,0.08,0.08
1299,3108,0,0.035,0.035
392,1878,0,0.005,0.005
734,598,0,0.48,0.43
796,2323,0,0.015,0.025
557,70,0,0.06,0.065
1004,2271,0,0.06,0.06
221,95,0,0.155,0.345
753,1643,0,0.0,0.0
1106,3106,0,0.0,0.0
274,2313,0,0.04,0.035
665,3154,0,0.01,0.01
761,1767,0,0.0,0.005
350,2393,0,0.0,0.025
854,191,1,0.6408333333333335,0.6508333333333334
715,321,0,0.455,0.415
897,2308,0,0.005,0.04
44,3016,0,0.005,0.01
496,375,0,0.035,0.045
910,70,0,0.065,0.12
346,1583,0,0.07,0.09
481,1153,0,0.005,0.0
589,3215,0,0.57,0.49
443,959,0,0.0,0.0
490,1767,0,0.0,0.01
608,911,0,0.005,0.075
270,3164,0,0.015,0.025
556,179,0,0.055,0.055
1268,2772,0,0.66,0.61
512,1169,0,0.005,0.03
622,288,1,0.38,0.37
518,1182,0,0.14,0.135
695,162,0,0.075,0.075
484,2395,0,0.14875,0.16375
62,2127,1,0.175,0.125
492,2172,0,0.0,0.005
537,895,1,0.87,0.715
604,2411,0,0.09,0.11
772,902,0,0.4,0.425
1024,2338,0,0.26,0.26
769,3011,0,0.0,0.01
748,965,0,0.1,0.1
516,485,0,0.0,0.0
991,423,0,0.01,0.01
1118,2393,0,0.005,0.1
565,2193,0,0.005,0.125
881,2039,0,0.005,0.005
1272,1028,0,0.7202500000000001,0.68025
1362,2840,0,0.13,0.175
1225,1447,0,0.0,0.0
374,3141,0,0.37,0.36
796,5,0,0.175,0.175
837,444,0,0.6542857142857144,0.5492857142857143
577,3055,0,0.405,0.405
632,36,0,0.005,0.01
1305,1007,0,0.0,0.0
565,893,0,0.0,0.0
547,1007,0,0.0,0.005
518,1007,0,0.075,0.135
781,2850,0,0.21833333333333335,0.21833333333333335
1287,1026,0,0.005,0.005
1334,3161,0,0.31,0.375
1262,531,0,0.0,0.005
248,125,0,0.08,0.08
604,1497,0,0.0,0.0
635,2019,0,0.015,0.02
743,3003,0,0.0,0.005
82,632,0,0.07,0.07
876,566,0,0.0,0.005
526,3148,0,0.005,0.005
1322,984,0,0.0,0.0
565,921,0,0.055,0.255
394,2757,0,0.155,0.155
589,3063,0,0.03,0.03
371,945,0,0.0,0.01
910,1213,0,0.005,0.01
38,2058,1,0.235,0.26
1190,107,0,0.005,0.005
316,2624,0,0.065,0.08
562,893,0,0.0,0.005
763,386,1,0.55,0.55
1019,3060,0,0.0,0.0
604,2877,0,0.0,0.0
1053,2280,0,0.415,0.38
890,423,0,0.014285714285714285,0.014285714285714285
251,73,0,0.0,0.0
510,2089,0,0.29,0.26
135,1497,0,0.0,0.0
503,1770,0,0.005,0.005
736,955,0,0.0,0.0
5,364,0,0.085,0.065
543,2860,0,0.0,0.005
1257,2920,0,0.0,0.0
1282,172,0,0.0,0.0
839,1135,0,0.074375,0.074375
602,426,0,0.0,0.01
696,3110,0,0.0,0.0
1064,185,0,0.35,0.3
897,190,0,0.04,0.08
717,500,0,0.655,0.595
504,371,0,0.0,0.02
935,541,0,0.02,0.02
1340,2333,0,0.005,0.09
834,2871,0,0.235,0.295
492,2441,0,0.0,0.005
606,3209,0,0.0,0.0
531,111,0,0.0,0.0
321,2759,0,0.0,0.0
593,151,1,0.495,0.365
452,2377,0,1.0,0.815
124,2089,0,0.15,0.13
511,137,0,0.0,0.0
1281,3157,0,0.0,0.0
462,937,0,0.01,0.09
407,953,0,0.0,0.005
574,2518,0,0.0,0.0
249,1798,0,0.37,0.395
967,989,0,0.434375,0.429375
1269,1062,0,0.02,0.02
851,2926,0,0.04,0.04
578,3175,0,0.0,0.0
1201,3106,0,0.35,0.35
1269,2765,0,0.0,0.0
584,1643,0,0.145,0.12
301,219,0,0.01,0.015
270,1148,0,0.04,0.04
1078,1033,0,0.0,0.005
632,1169,0,0.035,0.06
960,2122,0,0.02,0.085
504,2292,0,0.22,0.22
478,136,0,0.08,0.015
1287,1052,0,0.04,0.07
1259,3154,0,0.0,0.0
255,1161,0,0.02,0.025
736,1213,0,0.43,0.45
1360,610,1,0.5,0.5
3,348,0,0.0,0.0
272,2337,1,0.16,0.2
1225,3003,0,0.1,0.155
162,1493,1,0.955,0.955
1272,2399,0,0.0,0.0
722,3212,0,0.02,0.02
1115,1062,0,0.12,0.12
1331,638,1,0.145,0.16
522,1010,0,0.08,0.085
106,1698,0,0.015,0.015
586,3080,0,0.165,0.22
1115,1955,1,0.86,0.8
1185,562,1,0.91,0.81
897,911,0,0.0,0.01
577,3134,0,0.13,0.12
284,330,0,0.0,0.0
348,2206,0,0.0,0.01
798,3108,0,0.01,0.01
571,2821,0,0.01,0.015
82,2884,0,0.0,0.005
553,257,0,0.01,0.03
865,2251,0,0.035,0.04
594,2591,0,0.0,0.0
531,3109,0,0.045,0.05
992,533,0,0.01,0.06
654,2468,0,0.005,0.005
431,1163,0,0.005,0.02
1127,2156,0,0.0,0.0
4,1905,1,0.625,0.62
412,182,1,0.85875,0.81875
737,1180,0,0.07,0.09
736,2212,0,0.0,0.0
1076,456,0,0.0,0.0
558,3048,0,0.7,0.7
1242,788,0,0.035,0.035
267,145,0,0.175,0.2
592,580,0,0.045,0.045
753,2833,0,0.005,0.005
1246,1341,0,0.005,0.005
638,2621,0,0.0,0.0
1300,737,1,0.88,0.88
572,1564,1,0.61,0.56
781,3190,0,0.02,0.035
179,2334,0,0.055,0.055
1341,3021,0,0.01,0.015
267,1595,0,0.0,0.005
839,444,0,0.05,0.105
903,2527,1,0.9095,0.8395
67,1495,0,0.005,0.02
875,2612,0,0.165,0.395
431,77,0,0.0,0.0
512,2803,0,0.01,0.02
779,1427,0,0.01,0.015
738,2544,0,0.5224444444444444,0.5074444444444444
1284,2720,0,0.015,0.015
389,621,0,0.06,0.055
222,3111,0,0.255,0.255
837,897,0,0.0,0.0
1287,2510,0,0.055,0.055
1284,462,0,0.005,0.005
953,850,1,0.84,0.83
244,1163,0,0.0,0.0
606,2474,0,0.02,0.0
923,1180,0,0.0,0.005
820,703,0,0.005,0.005
1334,430,0,0.0,0.01
1053,163,0,0.19,0.15
601,2105,0,0.0,0.005
781,1816,0,0.0,0.0
1138,547,0,0.235,0.235
642,190,0,0.005,0.135
425,3036,0,0.035,0.035
606,2518,0,0.0,0.0
609,2452,0,0.0,0.03
27,3070,0,0.01,0.01
465,977,0,0.5075714285714286,0.4475714285714285
49,2072,1,0.16,0.185
1321,260,0,0.01,0.02
797,457,0,0.11,0.14
871,316,0,0.355,0.31
92,987,0,0.505,0.545
989,822,1,0.21,0.26
1213,2837,1,0.01,0.04
851,1040,0,0.11,0.13
883,190,0,0.005,0.005
346,1907,0,0.0,0.0
540,5,1,0.67,0.67
462,345,0,0.01,0.01
516,3017,0,0.015,0.11
465,368,0,0.445,0.395
361,1853,0,0.039375,0.049375
267,2807,0,0.055,0.065
350,1763,0,0.0,0.035
1046,2348,1,0.07,0.06
860,515,0,0.0,0.015
376,1115,0,0.29,0.24
722,2198,0,0.0,0.0
333,2860,0,0.135,0.195
452,309,0,0.0,0.045
882,2139,0,0.02,0.025
453,2045,0,0.005,0.005
544,1182,0,0.01,0.03
689,1127,0,0.0,0.01
1190,1485,0,0.005,0.005
858,1007,0,0.005,0.005
26,485,0,0.015,0.055
371,2818,0,0.005,0.01
556,3014,0,0.08,0.115
40,2093,0,0.065,0.05
312,2801,0,0.015,0.04
607,2544,0,0.495,0.445
592,485,0,0.01,0.045
1199,954,0,0.23,0.23
646,3022,0,0.02,0.11
1196,791,0,0.07,0.065
1196,3025,0,0.27,0.27
1148,312,0,0.0,0.0
496,1715,0,0.0,0.0
265,465,0,0.265,0.26
669,2984,0,0.205,0.255
914,2049,0,0.505,0.41
1055,758,1,0.87,0.845
541,1010,0,0.045,0.05
711,3163,0,0.555,0.445
803,1146,0,0.0,0.0
910,2444,0,0.0,0.0
357,2108,0,0.37,0.365
1145,3199,0,0.01,0.03
88,3161,0,0.0,0.01
554,832,0,0.005,0.005
490,945,0,0.0,0.0
1341,2062,0,0.135,0.185
853,371,0,0.0,0.005
251,2818,0,0.0,0.0
1330,2606,0,0.0,0.01
589,3200,0,0.0,0.0
1205,536,1,0.05,0.08
225,998,0,0.665,0.64
1038,2550,0,0.135,0.135
1295,702,1,0.80875,0.795
653,2765,0,0.005,0.005
1251,314,0,0.01,0.01
808,2960,0,0.04,0.065
432,165,0,0.0,0.0
820,2032,0,0.01,0.005
544,2853,0,0.465,0.435
510,2064,0,0.005,0.015
539,1367,0,0.0,0.0
76,362,0,0.18,0.18
194,67,0,0.575,0.36
284,1447,0,0.0,0.0
1196,2133,0,0.005,0.005
1024,2273,0,0.025,0.025
587,1512,0,0.0,0.005
1016,548,0,0.5938888888888889,0.585
853,986,0,0.0,0.01
798,671,1,0.22,0.22
727,3222,0,0.385,0.405
631,2318,1,0.25,0.265
1257,313,0,0.2,0.19
1186,324,0,0.0,0.025
781,2474,0,0.0,0.005
950,3032,0,0.12,0.135
823,1095,0,0.0,0.01
1334,1146,0,0.005,0.005
1105,462,0,0.025,0.05
859,2613,0,0.025,0.03
604,1120,0,0.0,0.0
1275,2400,0,0.1,0.1
267,3213,0,0.1,0.17
1181,2860,0,0.0,0.01
355,1484,0,0.165,0.15
1056,1157,0,0.065,0.065
605,2411,0,0.01,0.015
697,2780,1,0.305,0.255
1008,1907,0,0.0,0.005
753,1014,0,0.0,0.0
208,1770,0,0.03,0.045
87,1120,0,0.005,0.005
518,1120,0,0.0,0.0
914,2585,0,0.725,0.565
606,2137,0,0.01,0.01
550,3094,0,0.005,0.035
939,2132,0,0.0,0.005
350,946,0,0.015,0.025
879,1060,0,0.005,0.0
176,423,0,0.03,0.025
109,1655,0,0.41,0.41
497,1512,0,0.0,0.005
1349,946,0,0.0,0.01
599,1475,0,0.0,0.0
1186,1612,0,0.0,0.0
646,3023,0,0.0,0.02
557,452,0,0.02,0.045
1290,204,0,0.005,0.005
361,452,0,0.0,0.035
923,371,0,0.145,0.13
611,1036,0,0.005,0.095
901,150,1,0.86,0.79
593,367,0,0.085,0.13
602,430,0,0.385,0.345
784,1020,0,0.025,0.02
1278,447,0,0.005,0.01
817,2839,0,0.0,0.005
47,2862,0,0.705,0.655
583,2194,1,0.56,0.52
431,1828,0,0.275,0.275
1305,1485,0,0.005,0.005
512,16,0,0.025,0.025
866,192,0,0.0,0.0
506,1010,0,0.0,0.005
523,1497,0,0.005,0.005
587,2821,0,0.0,0.0
860,222,0,0.255,0.27
349,435,0,0.0,0.0
267,1180,0,0.0,0.005
654,3160,0,0.13,0.165
608,257,0,0.055,0.095
49,548,0,0.175,0.21
572,355,0,0.0,0.005
1092,978,1,0.48,0.53275
1185,1062,0,0.01,0.01
594,100,0,0.0,0.0
975,461,0,0.025,0.035
539,922,0,0.0,0.005
1330,371,0,0.0,0.005
1050,772,0,0.06,0.07
995,2135,0,0.25,0.25
826,2175,0,0.0,0.0
593,1564,0,0.005,0.075
1231,3094,0,0.0,0.0
1159,651,0,0.17,0.215
29,251,0,0.495,0.455
883,4,0,0.005,0.005
394,3221,0,0.49,0.45
944,2565,0,0.0,0.0
592,1923,0,0.0,0.035
554,2996,0,0.21,0.21
910,946,0,0.0,0.0
1114,1362,0,0.21,0.21
1319,477,0,0.635,0.635
715,399,1,0.445,0.415
779,1039,0,0.005,0.005
821,1519,0,0.815,0.805
839,331,0,0.03,0.085
1259,1157,0,0.005,0.005
1176,2820,0,0.0,0.0
214,2357,0,0.0,0.005
1329,1666,0,0.0,0.0
306,2976,0,0.24317098662207356,0.25317098662207355
214,1533,0,0.0,0.01
859,2660,0,0.31,0.31
255,1772,0,0.215,0.295
578,1686,0,0.04,0.055
1190,2008,0,0.0,0.0
823,2850,0,0.025,0.05
15,2453,0,0.0,0.0
181,878,0,0.065,0.07
329,3041,0,0.8990070206706788,0.867440388187599
432,2398,0,0.425,0.425
44,2092,0,0.08,0.07
176,1655,0,0.74,0.74
588,430,0,0.0,0.0
875,2438,0,0.325,0.26
979,1344,0,0.22,0.22
361,430,0,0.005,0.03
571,2600,0,0.1,0.105
325,2619,0,0.025,0.025
1190,2752,0,0.379,0.379
309,403,0,0.02,0.065
465,1612,0,0.0,0.055
1246,1199,0,0.0,0.0
15,791,0,0.005,0.005
615,1612,0,0.06,0.11
273,8,1,0.92,0.92
657,705,0,0.08,0.06
396,1367,0,0.0,0.0
1176,2686,0,0.005,0.005
363,2854,1,0.305,0.305
890,2996,0,0.17,0.17
1262,368,0,0.0,0.005
584,1828,0,0.335,0.28
265,371,0,0.0,0.0
950,363,0,0.09,0.14
220,15,0,0.095,0.055
781,3183,0,0.0,0.0
577,2146,1,0.8023214285714286,0.6773214285714286
839,986,0,0.1,0.11
228,1633,0,0.0,0.01
646,1666,0,0.155,0.195
322,190,0,0.93,0.755
925,572,0,0.008333333333333333,0.008333333333333333
294,3128,0,0.11,0.11
993,3033,0,0.0,0.0
355,3095,0,0.235,0.235
847,1573,0,0.25,0.22
751,2728,0,0.0,0.0
752,629,0,0.235,0.225
531,1633,0,0.005,0.035
944,2589,0,0.15,0.15
1081,905,0,0.325,0.305
705,1083,0,0.03,0.03
587,1095,0,0.0,0.005
111,473,0,0.555,0.495
532,1214,0,0.005,0.01
531,77,0,0.0,0.0
981,2062,0,0.025,0.04
1293,3060,0,0.0,0.01
1038,219,0,0.07,0.08
588,254,0,0.04,0.075
27,2199,0,0.0,0.015
736,257,0,0.0,0.0
139,960,0,0.0,0.0
636,2547,0,0.325,0.3
816,777,0,0.0,0.005
79,3095,0,0.43,0.345
984,2234,1,0.395,0.39
1255,1086,0,0.36,0.36
737,2649,0,0.58,0.495
1235,1900,0,0.005,0.01
517,2649,1,0.85,0.75
999,3207,0,0.005,0.005
157,1151,0,0.07,0.045
1002,1440,0,0.53,0.525
532,1350,0,0.26,0.255
1174,369,0,0.0,0.01
1262,448,0,0.005,0.085
541,2441,0,0.005,0.01
490,1007,0,0.0,0.0
606,945,0,0.0,0.0
590,457,0,0.51,0.425
883,448,0,0.0,0.0
288,3006,0,0.8990070206706788,0.8750734253976183
1275,2435,0,0.20916666666666664,0.20916666666666664
517,331,0,0.04,0.115
372,740,0,0.0,0.0
773,1512,0,0.01,0.04
1287,2744,0,0.01,0.01
1244,1879,0,0.0,0.005
620,448,0,0.0,0.005
571,2877,0,0.16,0.155
858,2816,0,0.025,0.03
547,1095,0,0.0,0.0
991,1655,0,0.65,0.65
443,73,0,0.305,0.3
618,1970,0,0.0,0.0
614,273,0,0.0,0.005
225,3175,0,0.0,0.0
1262,358,0,0.085,0.085
287,448,0,0.0,0.0
665,2917,0,0.845,0.765
231,1712,0,0.605,0.59
146,1162,0,0.0,0.0
273,1214,0,0.0,0.0
1114,2425,0,0.21,0.21
389,3023,0,0.17,0.17
512,2791,0,0.0,0.01
219,728,0,0.0,0.005
211,1636,0,0.105,0.125
270,1007,0,0.0,0.0
700,412,1,0.7315,0.7156666666666667
599,3009,0,0.05375,0.09875
584,1169,0,0.05,0.075
897,939,0,0.0,0.0
654,2998,0,0.0,0.0
851,2402,0,0.04,0.04
615,99,0,0.0,0.015
531,2513,1,0.535,0.5
654,2112,0,0.0,0.01
1322,324,0,0.185,0.22
1086,1109,0,0.01,0.01
1273,2471,1,0.885,0.715
753,2961,0,0.0,0.0
328,3043,0,0.145,0.255
297,2967,0,0.43,0.425
992,2247,1,0.225,0.235
823,904,0,0.0,0.005
1105,1433,0,0.135,0.135
837,893,0,0.0,0.04
346,1164,0,0.05,0.055
35,2544,0,0.0,0.0
443,2959,0,0.0,0.0
389,1666,0,0.12,0.115
516,1678,0,0.01,0.03
470,1980,0,0.105,0.085
866,314,0,0.005,0.005
381,2640,1,0.82,0.78
711,279,0,0.0,0.0
26,242,0,0.005,0.045
1289,3157,0,0.085,0.1
282,2986,0,0.0,0.0
616,1514,1,0.565,0.52
412,917,0,0.015,0.05
574,2816,0,0.0,0.0
547,915,0,0.0,0.0
606,1010,0,0.115,0.14
1185,3202,0,0.06,0.08
1011,1090,0,0.075,0.075
1019,1485,0,0.0,0.0
371,2837,0,0.19,0.165
